create|grassland|10
update|cells|20.6;22.6;22.6;22.6;22.6;21.6;21.6;19.6;20.6;20.6;21.6;22.6;22.6;22.6;22.6;22.6;20.6;20.6;22.6;21.6;22.6;22.6;22.6;22.6;22.6;21.6;22.6;22.6;21.6;22.6;22.6;22.6;22.6;22.6;22.6;20.6;21.6;22.6;21.6;21.6;20.6;19.6;21.6;22.6;22.6;22.6;21.6;22.6;22.6;19.6;20.6;21.6;22.6;22.6;21.6;22.6;21.6;22.6;21.6;20.6;22.6;22.6;22.6;22.6;22.6;20.6;22.6;21.6;21.6;22.6;22.6;22.6;22.6;22.6;22.6;21.6;22.6;20.6;22.6;21.6;22.6;21.6;21.6;19.6;21.6;21.6;21.6;22.6;21.6;22.6;21.6;21.6;21.6;21.6;21.6;20.6;21.6;21.6;21.6;21.6;
update|animal|3;11;1;25
update|animal|1;26;1;34
update|animal|4;11;1;27
update|animal|2;26;1;9
update|cells|20.7;22.7;22.7;22.7;22.7;21.7;21.7;19.7;20.7;19.7;21.7;22.7;22.7;22.7;22.7;22.7;20.7;20.7;22.7;21.7;22.7;22.7;22.7;22.7;22.7;20.7;22.7;21.7;21.7;22.7;22.7;22.7;22.7;22.7;21.7;20.7;21.7;22.7;21.7;21.7;20.7;19.7;21.7;22.7;22.7;22.7;21.7;22.7;22.7;19.7;20.7;21.7;22.7;22.7;21.7;22.7;21.7;22.7;21.7;20.7;22.7;22.7;22.7;22.7;22.7;20.7;22.7;21.7;21.7;22.7;22.7;22.7;22.7;22.7;22.7;21.7;22.7;20.7;22.7;21.7;22.7;21.7;21.7;19.7;21.7;21.7;21.7;22.7;21.7;22.7;21.7;21.7;21.7;21.7;21.7;20.7;21.7;21.7;21.7;21.7;
update|animal|3;12;1;34
update|animal|1;27;1;33
update|animal|4;12;1;36
update|animal|2;27;1;8
update|cells|20.8;22.8;22.8;22.8;22.8;21.8;21.8;19.8;19.8;19.8;21.8;22.8;22.8;22.8;22.8;22.8;20.8;20.8;22.8;21.8;22.8;22.8;22.8;22.8;22.8;20.8;22.8;21.8;21.8;22.8;22.8;22.8;22.8;21.8;20.8;20.8;20.8;22.8;21.8;21.8;20.8;19.8;21.8;22.8;22.8;22.8;21.8;22.8;22.8;19.8;20.8;21.8;22.8;22.8;21.8;22.8;21.8;22.8;21.8;20.8;22.8;22.8;22.8;22.8;22.8;20.8;22.8;21.8;21.8;22.8;22.8;22.8;22.8;22.8;22.8;21.8;22.8;20.8;22.8;21.8;22.8;21.8;21.8;19.8;21.8;21.8;21.8;22.8;21.8;22.8;21.8;21.8;21.8;21.8;21.8;20.8;21.8;21.8;21.8;21.8;
update|animal|3;13;1;33
update|animal|1;28;1;22
update|animal|4;13;1;37
update|animal|2;28;1;18
update|cells|20.9;22.9;22.9;22.9;22.9;21.9;21.9;19.9;19.9;19.9;21.9;22.9;22.9;22.9;22.9;22.9;20.9;20.9;21.9;21.9;22.9;22.9;21.9;22.9;22.9;20.9;22.9;21.9;21.9;22.9;22.9;22.9;22.9;20.9;20.9;20.9;20.9;21.9;21.9;21.9;20.9;19.9;21.9;22.9;22.9;22.9;21.9;22.9;22.9;19.9;20.9;21.9;22.9;22.9;21.9;22.9;21.9;22.9;21.9;20.9;22.9;22.9;22.9;22.9;22.9;20.9;22.9;21.9;21.9;22.9;22.9;22.9;22.9;22.9;22.9;21.9;22.9;20.9;22.9;21.9;22.9;21.9;21.9;19.9;21.9;21.9;21.9;22.9;21.9;22.9;21.9;21.9;21.9;21.9;21.9;20.9;21.9;21.9;21.9;21.9;
update|animal|3;14;1;34
update|animal|1;29;1;23
update|animal|4;14;1;28
update|animal|2;29;1;7
update|cells|21;23;23;23;23;22;22;19;20;20;22;23;23;23;23;23;21;21;22;22;23;23;22;22;23;21;23;22;21;23;23;23;23;21;20;21;21;22;22;22;21;20;22;23;23;23;22;23;23;20;21;22;23;23;22;23;22;23;22;21;23;23;23;23;23;21;23;22;22;23;23;23;23;23;23;22;23;21;23;22;23;22;22;20;22;22;22;23;22;23;22;22;22;22;22;21;22;22;22;22;
create|animal|5;0;1;33
update|animal|3;15;1;33
create|animal|6;0;1;32
update|animal|1;30;1;32
create|animal|7;0;1;17
update|animal|4;15;1;17
create|animal|8;0;1;18
update|animal|2;30;1;18
update|cells|21.1;23.1;23.1;23.1;23.1;22.1;22.1;19.1;20.1;20.1;22.1;23.1;23.1;23.1;23.1;23.1;21.1;20.1;21.1;22.1;23.1;23.1;22.1;22.1;23.1;21.1;23.1;22.1;21.1;23.1;23.1;23.1;22.1;20.1;20.1;21.1;21.1;22.1;22.1;22.1;21.1;20.1;22.1;23.1;23.1;23.1;22.1;23.1;23.1;20.1;21.1;22.1;23.1;23.1;22.1;23.1;22.1;23.1;22.1;21.1;23.1;23.1;23.1;23.1;23.1;21.1;23.1;22.1;22.1;23.1;23.1;23.1;23.1;23.1;23.1;22.1;23.1;21.1;23.1;22.1;23.1;22.1;22.1;20.1;22.1;22.1;22.1;23.1;22.1;23.1;22.1;22.1;22.1;22.1;22.1;21.1;22.1;22.1;22.1;22.1;
update|animal|5;1;1;34
update|animal|3;16;1;44
update|animal|6;1;1;22
update|animal|1;31;1;31
update|animal|7;1;1;26
update|animal|4;16;1;7
update|animal|8;1;1;19
update|animal|2;31;1;17
update|cells|21.2;23.2;23.2;23.2;23.2;22.2;22.2;18.2;20.2;20.2;22.2;23.2;23.2;23.2;23.2;23.2;21.2;19.2;21.2;21.2;23.2;23.2;21.2;22.2;23.2;21.2;22.2;22.2;21.2;23.2;23.2;22.2;22.2;20.2;19.2;21.2;21.2;22.2;22.2;22.2;21.2;20.2;22.2;23.2;22.2;23.2;22.2;23.2;23.2;20.2;21.2;22.2;23.2;23.2;22.2;23.2;22.2;23.2;22.2;21.2;23.2;23.2;23.2;23.2;23.2;21.2;23.2;22.2;22.2;23.2;23.2;23.2;23.2;23.2;23.2;22.2;23.2;21.2;23.2;22.2;23.2;22.2;22.2;20.2;22.2;22.2;22.2;23.2;22.2;23.2;22.2;22.2;22.2;22.2;22.2;21.2;22.2;22.2;22.2;22.2;
update|animal|5;2;1;24
update|animal|3;17;1;45
update|animal|6;2;1;21
update|animal|1;32;1;22
update|animal|7;2;1;15
update|animal|4;17;1;98
update|animal|8;2;1;8
update|animal|2;32;1;26
